V1,V2,V3,V4,V5,V6,V7,V8,V9,label
26.523,238.3179,59.9643,72.79528543,4.1869,4.3717,0.020042268,0.110013772,0.23494355,0
26.523,238.3179,59.9643,72.79528543,4.1869,4.3717,0.020042268,0.110013772,0.23494355,0
40.8279,148.7748,57.6302,93.44106621,1.1387,1.9032,0.004428214,0.139559825,0.28596323,0
43.155,117.0969,47.6218,77.94946789,4.7481,3.49,0.02284054,0.3770517,-0.021966119,0
46.5039,117.4658,45.6421,68.59122327,2.69,1.5942,0.011937788,0.257957876,0.159315766,0
29.0704,288.7647,10.063,4.324455109,13.8281,7.1585,0.039043479,0.056156579,0.233863771,0
6.8823,-1420.6417,85.268,51.16118044,11.2147,3.7907,0.014358979,0.108461319,0.048886621,0
31.0743,222.0115,51.3661,47.36780439,1.6144,2.7197,0.004974342,0.038640106,0.26086019,0
6.8823,-1420.6417,85.268,51.16118044,11.2147,3.7907,0.014358979,0.108461319,0.048886621,0
22.6801,297.3919,50.623,36.20737481,-0.6928,2.8035,0.010934197,0.145094474,0.153568423,0
34.3742,194.2514,58.1112,73.08901874,1.2265,0.8783,0.004186923,0.069077851,0.166091744,0
11.932,946.5619,64.3179,25.80020093,-12.5292,-0.4844,-0.01599853,-0.073547627,-0.070488013,0
64.057,50.5018,31.5645,77.60025231,-1.5186,0.02,-0.009140258,-0.771327253,0.001279922,0
9.5476,-1592.2651,69.9149,16.82608659,5.7775,2.6614,0.013405186,0.021517077,0.023389705,0
63.1576,55.8011,12.5318,25.39399708,0.2566,1.4758,0.005869841,0.064221793,0.02048419,0
42.1507,147.2573,29.1036,24.37875938,3.2391,2.5421,0.013939527,0.021842502,0.227498904,0
37.0694,173.5528,50.2528,60.55565365,0.589,0.5699,0.00177424,0.073100237,0.105247357,0
28.0866,229.6137,46.3492,42.71887258,0.9812,3.2754,0.006640291,0.052496081,0.132303147,0
45.8029,118.4985,42.3278,62.40773095,0.9347,0.6797,0.004385162,0.235853315,-0.222249068,0
24.9475,490.326,37.6012,22.05901992,6.3229,2.6631,0.018046969,0.006080681,0.087947349,0
42.1507,147.2573,29.1036,24.37875938,3.2391,2.5421,0.013939527,0.021842502,0.227498904,0
29.9012,231.4034,54.9496,53.46202606,0.6032,0.8448,0.001666774,0.039911054,0.179036664,0
33.3769,190.8249,61.6577,80.47452249,1.5543,0.8854,0.00512172,0.199778125,-0.299288266,0
46.9208,91.5453,20.9304,24.6810893,2.1391,3.04,0.014178364,0.253853794,0.173919667,0
28.6408,217.7057,47.1768,40.24502821,4.7184,2.9986,0.020579003,0.242596948,0.015749914,0
51.161,95.3251,30.2158,43.74627099,1.3621,0.8116,0.006917415,0.228205898,0.004754662,0
27.3879,319.7394,62.8227,64.04288541,1.7628,3.3048,0.004743757,0.096540132,0.121161388,0
13.7376,-11416.032,69.1423,34.19541088,2.2957,3.7588,0.007324184,0.010157915,0.129867378,0
13.7376,-11416.032,69.1423,34.19541088,2.2957,3.7588,0.007324184,0.010157915,0.129867378,0
42.468,130.3653,50.1457,77.05295474,0.5884,1.2195,0.002375842,0.185452379,0.048279424,0
27.8447,292.6181,66.3265,81.57892862,0.2115,2.0907,0.00183034,0.014746959,0.115011864,0
9.0862,1849.2103,82.1353,53.51605236,1.3581,3.7924,0.008825483,0.038718138,0.102123766,0
15.0071,-428.7135,47.2826,17.85953776,-0.3448,2.6944,0.003527297,0.009765477,0.062208627,0
29.8902,233.1479,43.9986,34.08841972,1.1474,0.7367,0.005077201,0.114147758,0.006344889,0
64.4052,111.3984,16.2069,36.54810555,0.4609,0.6977,0.002190846,0.048516657,0.045157867,0
32.0392,215.4353,59.0355,69.64512202,2.3555,0.8796,0.007489511,0.156268556,0.015969373,0
42.1507,147.2573,29.1036,24.37875938,3.2391,2.5421,0.013939527,0.021842502,0.227498904,0
28.6306,389.9709,67.663,82.69694926,3.0527,2.7396,0.009558333,0.125901903,0.021305305,0
41.6949,134.9327,46.2979,64.07525804,4.0424,2.9002,0.018753829,0.510299351,0.058555995,0
64.3822,55.1332,23.0943,53.59338451,4.6389,3.4985,0.027596226,0.555855569,0.317247201,0
47.2704,108.0914,39.6089,61.47404503,3.4865,2.2041,0.014550491,0.212094588,-0.750592813,0
33.1059,217.9807,55.0657,60.1145063,2.1279,1.3465,0.006936054,0.138118385,-0.103343147,0
39.0598,147.1186,32.0421,33.10835562,1.5035,1.8816,0.011235731,0.0724406,0.020660689,0
